,subject,session,scan,site,bg_mean,bg_size,bg_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,ghost_x,ghost_y,ghost_z,snr
1189,25401,session_1,rest_3,LMU_2,58.8928616348,118676,85.9873447993,0.505149475,77.3504921933,894.5770578685,28780,199.9512317578,1.8612333579,1.8429666667,2.1149631653,1.6541816031,-0.00174313,0.0405533,,10.403589737
1190,25402,session_1,rest_1,LMU_3,71.4764196922,78775,95.3935128666,0.6038863718,54.4892128744,855.7006679917,35913,204.8609464763,1.860837421,1.9045601514,2.05835,1.6436590553,-0.00557861,0.0405689,,8.9702186478
1191,25402,session_2,rest_1,LMU_3,66.395784663,78942,85.4952050222,0.602486689,56.2470385781,785.859375384,35746,203.7663607831,1.9544530025,2.0071333333,2.1285935025,1.7474545076,-0.00714957,0.0433293,,9.1918532177
1192,25403,session_1,rest_1,LMU_3,75.4311774375,80817,111.1630804376,0.5889804522,49.7053144864,922.3348590552,33871,215.3276849678,1.7511973825,1.77333,1.9294434867,1.5695796815,-0.011099,0.0447101,,8.2971329638
1193,25403,session_2,rest_1,LMU_3,71.6056706729,81167,109.7076134322,0.5864999586,45.5890227833,857.9063176679,33521,215.5031024691,1.8692867206,1.8806433333,2.1091933333,1.6466658734,-0.0101669,0.0476848,,7.8199341944
1194,25404,session_1,rest_1,LMU_3,62.8584244406,82354,91.0497514005,0.5699637262,66.837904747,881.8507979993,32334,201.2972514164,1.888878836,1.9310065132,2.0608566667,1.6934865105,-0.0136866,0.0349691,,9.6853729355
1195,25404,session_2,rest_1,LMU_3,59.6819223004,82235,89.4773624393,0.5670334207,67.1745676504,858.0488019037,32453,202.08439366,1.8866344562,1.9266466667,2.0849566667,1.6717249638,-0.00912626,0.034328,,9.5895629745
1196,25405,session_1,rest_1,LMU_3,61.8395152597,84097,90.2708502321,0.5591819173,66.5117061999,868.8639355317,30591,203.499749239,1.903653736,1.9007668177,2.10413,1.7248954172,-0.0116572,0.0355392,,9.6250775671
1197,25405,session_2,rest_1,LMU_3,63.5275015386,84734,94.9144462027,0.5581272202,58.3539912539,847.6418408049,29954,206.5994572114,1.9768350533,1.9767466667,2.21587,1.7636613254,-0.0135958,0.0408566,,8.9305882794
1198,25406,session_1,rest_1,LMU_3,77.2636131269,74372,107.5197476713,0.6319120824,47.493393089,891.9867175805,40316,192.0825966093,1.8446513518,1.8288566667,2.0522565036,1.6723658728,-0.0153972,0.0547492,,8.2960268871
1199,25406,session_2,rest_1,LMU_3,68.5156867607,74057,95.5591222452,0.6307369652,48.1800737776,794.8004050266,40631,185.5507639322,1.9755265652,1.95801,2.18344,1.8033976882,-0.0171349,0.0580273,,8.3173682047
1200,25407,session_1,rest_1,LMU_3,79.5157272205,79119,122.1455162046,0.6043045626,37.4381362036,865.071908101,35569,216.6758585002,2.0046154876,2.0212366667,2.2325333333,1.7851635977,-0.027244,0.0635004,,7.0823058838
