,Unnamed: 0,subject,session,scan,site,dvars,mean_fd,num_fd,outlier,perc_fd,quality,gcor
214,214,25016,session_2,rest_2,NYU_2,0.8781838126,0.0620549577,0,0.0060776667,0,0.0161814574,0.4537928735
212,212,25016,session_1,rest_2,NYU_2,1.0610294029,0.1063147722,0,0.0080176667,0,0.0127751246,0.4614856818
213,213,25016,session_2,rest_1,NYU_2,1.0115913521,0.0427311206,0,0.007323,0,0.0108982892,0.5061460111
218,218,25017,session_2,rest_2,NYU_2,0.9888297614,0.1109528692,1,0.0073645556,0.5524861878,0.0211492867,0.4163740712
216,216,25017,session_1,rest_2,NYU_2,1.0198315514,0.1298016781,1,0.0062430556,0.5524861878,0.0210250089,0.4512766748
215,215,25017,session_1,rest_1,NYU_2,1.1382183984,0.1356744117,4,0.0135072222,2.2099447514,0.0199957142,0.4701165111
217,217,25017,session_2,rest_1,NYU_2,1.0440691386,0.0688274788,0,0.0062422778,0,0.0145451228,0.5122898624
221,221,25018,session_2,rest_1,NYU_2,1.0168461051,0.0696382289,0,0.0056526667,0,0.0149443531,0.408722257
219,219,25018,session_1,rest_1,NYU_2,1.0943819416,0.1292477014,0,0.0076577778,0,0.0166224584,0.441849611
222,222,25018,session_2,rest_2,NYU_2,1.047035857,0.0577723834,0,0.0060035,0,0.0122776133,0.4483306597
220,220,25018,session_1,rest_2,NYU_2,1.0589189359,0.0844579673,0,0.0061551667,0,0.013390102,0.4742583007
223,223,25019,session_1,rest_1,NYU_2,1.0439444371,0.0909455629,1,0.0098185,0.5524861878,0.0168750551,0.5101921013
226,226,25019,session_2,rest_2,NYU_2,1.0337818366,0.0577926936,0,0.0062415556,0,0.0143175389,0.5255681784
