,subject,session,scan,site,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gm_mean,gm_size,gm_std,qi1,snr,wm_mean,wm_size,wm_std
1308,25551,session_1,anat_1,IPCAS_3,2.2799409129,3703010,7.5440983567,17.4492313816,161.2728950723,173367,46.2778340292,0.3980176394,610.910210591,111.8771168589,4685598,159.4618675562,5.7553782849,4.7462028544,6.3084,6.36731,264.5793414514,424570,42.8885449389,0.0972190191,14.829753215,396.2180592422,340568,45.6763911023
1309,25552,session_1,anat_1,IPCAS_3,3.5015918499,4219933,7.1962159284,14.3879221881,131.1373323135,218339,54.6518087643,0.5126877058,811.1759434276,171.7176045146,4168675,149.887214347,4.8571532485,3.7063983766,5.04781,6.12476,207.8740974397,448585,34.7032913641,0.2530535437,23.8622084472,311.412692266,369280,40.1379222918
1310,25553,session_1,anat_1,IPCAS_3,2.7961676928,3605974,5.9303198759,21.402038638,164.824280338,200615,108.5449807601,0.5121909817,1084.0758887981,153.3311403298,4782634,151.9572120933,4.8105688502,3.9258494974,4.95416,5.72382,243.2984422885,512290,43.8207288188,0.2056595527,25.8554586496,370.2193774077,412212,45.4214229856
1311,25554,session_1,anat_1,IPCAS_3,1.9611927257,3518026,7.6506777637,17.0837356671,157.3944459185,180912,40.1439359895,0.3881434102,525.1754891926,99.8925101764,4870582,150.935355273,5.7658991026,4.8337366861,6.1843,6.4125,262.3380018238,427690,43.9844536857,0.0777947633,13.0566876898,393.0401584132,335073,45.2477760192
1312,25555,session_1,anat_1,IPCAS_3,3.134260212,3061458,5.6452128038,20.5542269341,128.671634875,235229,37.9754728582,0.5647283509,992.4488191951,149.4412310523,5327150,138.0018204276,4.7868083519,3.8253607788,5.0378,5.69148,216.2726276653,543041,39.7799909936,0.1522078696,26.4722050784,332.3056127253,422718,46.2470128355
1313,25556,session_1,anat_1,IPCAS_3,2.0508483257,3768246,6.4301996538,17.4247214181,131.4170667831,192444,43.9895007974,0.3947118241,592.0294969102,94.0383744823,4620362,134.6319632647,5.5484082499,4.5765712809,6.19688,6.0227,216.8741306055,470011,36.6501682449,0.1323459243,14.6244875036,328.9185682351,370396,39.0178844547
1314,25557,session_1,anat_1,IPCAS_3,2.0323819793,4280776,4.4166165547,26.3075146317,130.6663436802,176478,34.7241749055,0.4677574711,2377.433482055,167.4412858169,4107832,167.8064158473,4.6038079585,3.5092179319,4.80971,5.78125,220.7753933269,449626,38.1368706411,0.1519932367,37.9116646748,336.9655979611,341753,41.9187851756
1315,25557,session_2,anat_1,IPCAS_3,5.7859404393,1273155,8.2893474684,15.9757123245,160.6923293101,202824,55.2367494691,0.5873107598,501.2693329052,163.3675477167,3102321,156.6394999361,4.9242882499,4.2982855756,5.32799,5.21402,264.2804985389,454448,44.7858628853,0.2759357659,19.7081312298,396.7087290523,382321,46.8169659335
1316,25558,session_1,anat_1,IPCAS_3,2.4213003585,3513631,6.4254627767,20.0522328183,159.6240713739,259927,42.0141187023,0.4484534236,806.1032333011,122.2409859575,4874977,151.8693960145,5.5057793881,4.8143903906,6.0284503593,5.75056,264.7557509321,465881,44.7655326102,0.1166670604,19.0244641057,393.6006264955,402876,50.3993837312
1317,25559,session_1,anat_1,IPCAS_3,2.6136849727,4064429,5.9240190146,20.6342736673,141.9262121414,195398,37.3602447649,0.4872726041,1349.8294234744,169.4611867363,4324179,166.9579964296,4.5552230591,3.5177066534,4.85091,5.53919,235.6410617683,459912,39.8434324384,0.1724997533,28.6057803526,357.8788913257,358843,47.0915940141
