"","site","site.name","uniqueid","subid","session","scan","falff_50","reho_50","vmhc_50","falff_75","reho_75","vmhc_75","falff_90","reho_90","vmhc_90","falff_fwhm","reho_fwhm","vmhc_fwhm","falff_mean","reho_mean","vmhc_mean","global"
"3621",45,"UM","MONTREAL_org_0026182_session_1_rest_1","0026182",1,1,0.648641591425985,0.199831545352936,0.587734818458557,0.693976756418124,0.277869045734406,0.765065610408783,0.732337280642241,0.356989151239395,0.876692944765091,4.30242,13.8871,6.61895,0.650850524161763,0.21172209084034,0.518929600715637,"All Sites"
"3622",45,"UM","MONTREAL_org_0026182_session_1_rest_2","0026182",1,2,0.635394279146567,0.203797817230225,0.601334929466248,0.675736773060635,0.274785563349724,0.761421859264374,0.712717392481863,0.336605334281921,0.874736666679382,4.23036,12.5317,6.38804,0.636228763673378,0.210491448640823,0.5260169506073,"All Sites"
"3623",45,"UM","MONTREAL_org_0026182_session_2_rest_1","0026182",2,1,0.608109752647579,0.196034818887711,0.56910103559494,0.650841789320111,0.264123767614365,0.734512910246849,0.690286746248603,0.324534952640533,0.850128471851349,4.22734,12.9908,6.62933,0.610888637270112,0.203840255737305,0.503644347190857,"All Sites"
"3624",45,"UM","MONTREAL_org_0026182_session_2_rest_2","0026182",2,2,0.633662652689964,0.191869661211967,0.541585087776184,0.674544114153832,0.258545696735382,0.716380953788757,0.708611998707056,0.327000659704208,0.845994293689728,4.10028,13.504,6.68714,0.635942721172519,0.201146617531776,0.488476186990738,"All Sites"
"3625",45,"UM","MONTREAL_org_0026183_session_1_rest_1","0026183",1,1,0.641249699052423,0.164066545665264,0.488871976733208,0.687053248984739,0.227986607700586,0.673836588859558,0.736380148911849,0.292906567454338,0.813578844070435,4.31441,12.7128,6.57691,0.644343321584972,0.176268503069878,0.443899750709534,"All Sites"
"3626",45,"UM","MONTREAL_org_0026183_session_1_rest_2","0026183",1,2,0.633366687688977,0.173896469175816,0.504649192094803,0.677873536013067,0.243563257157803,0.685471206903458,0.722380384337157,0.313556388020515,0.819015622138977,4.07444,12.967,6.65718,0.636440557614692,0.186467170715332,0.458859294652939,"All Sites"
"3627",45,"UM","MONTREAL_org_0026183_session_2_rest_1","0026183",2,1,0.596214545657858,0.165736824274063,0.482970803976059,0.640504769049585,0.227963507175446,0.676268622279167,0.684794992441311,0.287452554702759,0.815772926807404,4.36436,12.829,6.55153,0.597731624872943,0.175954267382622,0.448596477508545,"All Sites"
"3628",45,"UM","MONTREAL_org_0026183_session_2_rest_2","0026183",2,2,0.621318660676479,0.184993475675583,0.552736699581146,0.677802175283432,0.261074095964432,0.747390568256378,0.734285689890385,0.341861689090729,0.866439723968506,4.95709,13.5441,6.54076,0.626430646705797,0.201525405049324,0.4946109354496,"All Sites"
"3629",45,"UM","MONTREAL_org_0026184_session_1_rest_1","0026184",1,1,0.658668387215585,0.197502598166466,0.548901259899139,0.703973620198667,0.266725033521652,0.71831226348877,0.756248889025301,0.332457369565964,0.843724191188812,4.69795,12.4476,6.66071,0.661523223253406,0.208440497517586,0.496779263019562,"All Sites"
"3630",45,"UM","MONTREAL_org_0026184_session_1_rest_2","0026184",1,2,0.647887419909239,0.201377898454666,0.56047523021698,0.70547741279006,0.274751931428909,0.727756917476654,0.763067405670881,0.34914026260376,0.860539138317108,5.09597,13.0195,6.51198,0.655546859213784,0.213657662272453,0.501385807991028,"All Sites"
