"","site","site.name","uniqueid","subid","session","scan","MeanFD","PercentFD_greater_than_0.20","global"
"124",22,"NKI 1","NKI_TRT_0021001_session_2_rest_645_1","0021001",2,645,0.1288,14.2222,"All Sites"
"125",22,"NKI 2","NKI_TRT_0021001_session_2_rest_1400_1","0021001",2,1400,0.26,61.1386,"All Sites"
"126",22,"NKI 3","NKI_TRT_0021001_session_2_rest_2500_1","0021001",2,2500,0.1041,7.438,"All Sites"
"127",22,"NKI 1","NKI_TRT_0021002_session_1_rest_645_1","0021002",1,645,0.0666,0.1111,"All Sites"
"128",22,"NKI 2","NKI_TRT_0021002_session_1_rest_1400_1","0021002",1,1400,0.1149,3.7129,"All Sites"
"129",22,"NKI 3","NKI_TRT_0021002_session_1_rest_2500_1","0021002",1,2500,0.0619,1.6529,"All Sites"
"130",22,"NKI 1","NKI_TRT_0021002_session_2_rest_645_1","0021002",2,645,0.0818,1.2222,"All Sites"
"131",22,"NKI 2","NKI_TRT_0021002_session_2_rest_1400_1","0021002",2,1400,0.1539,25.9901,"All Sites"
"132",22,"NKI 3","NKI_TRT_0021002_session_2_rest_2500_1","0021002",2,2500,0.0832,1.6529,"All Sites"
"133",22,"NKI 1","NKI_TRT_0021006_session_1_rest_645_1","0021006",1,645,0.0684,0.6659,"All Sites"
"134",22,"NKI 2","NKI_TRT_0021006_session_1_rest_1400_1","0021006",1,1400,0.1478,21.4815,"All Sites"
"135",22,"NKI 3","NKI_TRT_0021006_session_1_rest_2500_1","0021006",1,2500,0.1477,20.6612,"All Sites"
"136",22,"NKI 1","NKI_TRT_0021006_session_2_rest_645_1","0021006",2,645,0.069,2.1111,"All Sites"
"137",22,"NKI 2","NKI_TRT_0021006_session_2_rest_1400_1","0021006",2,1400,0.1444,15.099,"All Sites"
"138",22,"NKI 3","NKI_TRT_0021006_session_2_rest_2500_1","0021006",2,2500,0.1571,28.0992,"All Sites"
"139",22,"NKI 1","NKI_TRT_0021018_session_1_rest_645_1","0021018",1,645,0.0816,0.1111,"All Sites"
"140",22,"NKI 2","NKI_TRT_0021018_session_1_rest_1400_1","0021018",1,1400,0.1695,38.3663,"All Sites"
"141",22,"NKI 3","NKI_TRT_0021018_session_1_rest_2500_1","0021018",1,2500,0.0516,0,"All Sites"
"142",22,"NKI 1","NKI_TRT_0021018_session_2_rest_645_1","0021018",2,645,0.0992,2.4444,"All Sites"
"143",22,"NKI 2","NKI_TRT_0021018_session_2_rest_1400_1","0021018",2,1400,0.1623,31.1881,"All Sites"
"144",22,"NKI 3","NKI_TRT_0021018_session_2_rest_2500_1","0021018",2,2500,0.0537,0,"All Sites"
"145",22,"NKI 1","NKI_TRT_0021024_session_1_rest_645_1","0021024",1,645,0.0947,6.3333,"All Sites"
"146",22,"NKI 2","NKI_TRT_0021024_session_1_rest_1400_1","0021024",1,1400,0.2428,54.2079,"All Sites"
"147",22,"NKI 3","NKI_TRT_0021024_session_1_rest_2500_1","0021024",1,2500,0.1013,0.8264,"All Sites"
"148",22,"NKI 1","NKI_TRT_0021024_session_2_rest_645_1","0021024",2,645,0.1211,13.6515,"All Sites"
"149",22,"NKI 2","NKI_TRT_0021024_session_2_rest_1400_1","0021024",2,1400,0.1701,40.2469,"All Sites"
"150",22,"NKI 3","NKI_TRT_0021024_session_2_rest_2500_1","0021024",2,2500,0.0712,0.8264,"All Sites"
"151",24,"NYU 2","NYU_org_0025000_session_1_rest_1","0025000",1,1,0.0605,0,"All Sites"
