subject,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,gm_mean,gm_size,gm_std,qi1,snr,wm_mean,wm_size,wm_std,site
0025059_session_1,2.430307388305664,6829239.0,7.975252151489258,11.353323936462402,39.79427337646485,4890.0,45.89717483520508,0.3753568399195923,169.34537761410644,95.74310302734376,1559369.0,55.19062423706055,3.63887,98.46499633789062,262332.0,15.708560943603516,0.05193609419731832,12.346317291259766,189.0106201171875,55296.0,13.33651638031006,NYU_2
0025060_session_1,3.1576313972473145,6482520.0,8.842246055603027,9.1179838180542,53.41777801513672,4871.0,62.31545639038086,0.42514788935513376,132.67670955592706,96.30593872070312,1906088.0,53.20181655883789,3.60589,101.52459716796876,303057.0,14.325678825378418,0.08647254462770651,11.481765747070312,182.14805603027344,67562.0,13.55109977722168,NYU_2
0025060_session_2,3.296373128890991,6576303.0,8.518767356872559,10.544952392578123,53.91050720214844,4626.0,51.7643928527832,0.4190109775872869,149.22937977052143,99.81712341308594,1812305.0,54.3625602722168,3.6971300000000005,103.5046615600586,307537.0,15.71356201171875,0.07158368463253592,12.150192260742188,193.33465576171875,67490.0,13.75117301940918,NYU_2
0025061_session_1,2.739877223968506,6309293.0,7.44219446182251,10.819684028625488,48.02048873901367,4100.0,53.49773788452149,0.427706944770644,196.77486405546276,98.24140167236328,2079315.0,58.2586555480957,4.10351,116.73218536376952,256510.0,18.021203994750977,0.06791315603824391,15.68518352508545,197.2543792724609,64968.0,11.081396102905273,NYU_2
0025061_session_2,2.8961789608001713,6289673.0,8.264586448669434,9.955644607543944,50.13214111328125,2853.0,43.133731842041016,0.4289115646404458,174.69843085763443,100.03099822998048,2098935.0,60.09673309326172,4.12878,120.650390625,248373.0,17.97124671936035,0.047933811503396116,14.59847927093506,202.9296722412109,64001.0,11.353985786437988,NYU_2
0025063_session_1,2.3109116554260254,6685036.0,6.723010540008545,11.991833686828613,37.40007400512695,5514.0,54.87939071655274,0.3945756615302505,162.41475463695954,79.77919006347656,1703572.0,46.72349548339844,3.68531,83.81714630126953,274210.0,14.027109146118164,0.06735715409759947,12.467204093933105,164.43836975097656,58633.0,10.810163497924805,NYU_2
0025064_session_1,2.297939777374268,6508676.0,6.094436168670653,13.116522789001465,39.02096176147461,4198.0,42.59210968017578,0.4125308936821965,201.6545953177964,81.17279815673828,1879932.0,47.16374206542969,3.73409,86.4629898071289,265370.0,13.326491355895994,0.08186810958173367,14.187200546264648,166.4008026123047,64005.0,10.494585037231444,NYU_2
0025065_session_1,2.53647780418396,6330406.0,7.008615016937256,11.533242225646973,48.18803787231445,4196.0,62.31232833862305,0.4280559654605134,183.17307403700482,88.97282409667969,2058202.0,52.33262634277344,3.67939,89.2369613647461,301378.0,13.931814193725586,0.05140175843381925,12.732467651367188,170.0690155029297,68282.0,10.893843650817873,NYU_2
0025066_session_1,2.5947980880737305,6672938.0,6.307631492614746,12.195270538330078,37.36693572998047,3720.0,32.08919906616211,0.4056133853588708,172.22005362403962,79.89473724365234,1715670.0,45.09161758422852,3.72791,86.87084197998047,232817.0,13.420479774475098,0.08933501255369074,13.772339820861815,163.7941131591797,62207.0,11.904504776000975,NYU_2
0025067_session_1,2.8386332988739014,6741808.0,8.704570770263674,8.704535484313965,50.433631896972656,3669.0,67.91191864013672,0.3986431917015197,113.1404579397801,86.23270416259766,1646800.0,47.73369979858398,3.7458699999999996,87.52034759521484,299644.0,13.060820579528807,0.07175716069042606,10.054527282714844,163.2895965576172,60656.0,10.481884956359863,NYU_2
0025072_session_1,3.5016384124755864,6436142.0,9.980731964111328,9.090641021728516,36.86856460571289,5516.0,43.99039840698242,0.4261601635584116,100.78210357006444,93.161865234375,1952466.0,55.46583557128906,3.93284,98.50347137451172,326968.0,16.314437866210938,0.08204231665491532,9.869363784790039,189.23472595214844,67467.0,15.297107696533205,NYU_2
0025073_session_1,4.090500831604004,6287140.0,9.44900131225586,8.991369247436523,58.542762756347656,5507.0,50.61458206176758,0.4577619620974656,126.52591709718016,101.52379608154295,2101468.0,54.24300384521485,3.7702,110.4669189453125,252521.0,14.721446990966795,0.12580394265118958,11.69085693359375,195.42637634277344,64917.0,15.329259872436525,NYU_2
0025075_session_1,2.665699005126953,6712159.0,7.1943559646606445,13.637402534484865,54.86436080932617,3701.0,56.66735458374024,0.3860865677401224,258.5281801079058,109.21208190917969,1676449.0,63.99866104125977,4.10597,126.41866302490234,239344.0,20.312721252441406,0.04767139753393804,17.571922302246097,224.53099060058597,59849.0,13.477514266967773,NYU_2
0025076_session_1,1.6234654188156128,6205664.0,4.273624897003174,18.78188705444336,62.08534240722656,3609.0,85.48661041259766,0.419386940620039,604.3631107562431,97.19621276855469,2182944.0,59.85557556152344,3.90084,119.08702087402344,248194.0,17.22075080871582,0.02477236924203437,27.865575790405273,199.353759765625,57483.0,15.71564483642578,NYU_2
0025077_session_1,5.4873247146606445,6335994.0,14.128410339355467,11.959860801696776,90.16878509521484,5267.0,75.54036712646484,0.4317076837708893,211.45228612798687,198.2396545410156,2052614.0,110.9437484741211,3.9629300000000005,219.58575439453125,243625.0,34.512619018554695,0.061135474560108476,15.542141914367676,388.5595703125,57651.0,30.21277046203613,NYU_2
0025078_session_1,5.918816089630128,6099543.0,14.588905334472654,11.719741821289062,106.8302764892578,5568.0,111.8851089477539,0.4516741986320304,188.55240818705497,185.18051147460938,2289065.0,110.5663833618164,4.21016,219.5145568847656,278875.0,32.124500274658196,0.07667180967492154,15.046677589416506,390.4927673339844,66822.0,28.853179931640625,NYU_2
0025079_session_1,4.809743404388428,6426903.0,13.879426956176758,12.929091453552244,102.16510772705078,2889.0,95.83513641357422,0.41206616081794256,246.322071238977,202.42042541503903,1961705.0,119.15926361083984,3.91089,231.3472137451172,224523.0,36.64769744873047,0.07071353029600727,16.668354034423828,410.7955932617188,54823.0,29.31952476501465,NYU_2
0025080_session_1,4.302928447723389,6782837.0,13.90081787109375,12.869532585144045,115.17121887207031,2161.0,100.10072326660156,0.3728360519901249,260.2899380012206,206.576904296875,1605771.0,120.49141693115234,3.73993,236.92648315429688,206110.0,33.162620544433594,0.04471580254692837,17.0440673828125,415.8235168457031,51722.0,21.916133880615234,NYU_2
0025081_session_1,5.895174980163574,6432723.0,14.973867416381836,11.55436897277832,103.32771301269531,4269.0,130.73887634277344,0.4242741001778137,190.98362586005456,193.54721069335938,1955885.0,110.53610229492188,3.8938800000000002,227.30870056152344,237236.0,36.18691635131836,0.06416909293311712,15.180359840393065,400.3222961425781,60388.0,23.028886795043945,NYU_2
0025082_session_1,2.3150315284729004,6545416.0,6.907933712005615,12.68722152709961,46.44963073730469,4715.0,56.66388702392578,0.39881584096750655,227.52357925442462,95.9983139038086,1843192.0,57.65969848632813,3.99419,109.8285675048828,270957.0,17.61227798461914,0.044164190633567066,15.898902893066404,197.47105407714844,62161.0,10.622797966003418,NYU_2
0025085_session_1,4.462718486785889,6641489.0,13.093097686767578,13.832383155822756,107.2237548828125,4353.0,104.5965576171875,0.3909763070398133,261.889260686125,196.9432830810547,1747119.0,114.54076385498048,3.9814,226.8673248291016,219187.0,30.87587547302246,0.05483710053573829,17.327245712280273,407.97607421875,53324.0,23.624364852905273,NYU_2
0025086_session_1,4.8608832359313965,6560995.0,14.252384185791016,13.341925621032715,92.26949310302734,4386.0,109.32172393798828,0.3977979087234087,222.51186744305718,197.09169006347656,1827613.0,118.6760025024414,3.8904300000000003,223.1098175048828,261747.0,35.52785873413086,0.06007320535985776,15.654210090637207,413.2640686035156,56164.0,22.411521911621094,NYU_2
0025088_session_1,4.367295265197754,6858156.0,13.798754692077635,14.310643196105955,98.53244018554688,4115.0,120.6864013671875,0.3688898454114377,222.7939945155696,191.2685394287109,1530452.0,110.96971893310548,3.3973,196.00021362304688,242512.0,29.451181411743164,0.0489408523224027,14.204195976257324,393.4692687988281,49358.0,24.224727630615234,NYU_2
0025089_session_1,8.20327091217041,6212668.0,21.909395217895508,6.373909950256348,94.18448638916016,5724.0,106.91966247558594,0.4444077266472869,99.54403669295824,200.27667236328125,2175940.0,124.50440979003906,4.01253,247.18739318847656,267424.0,35.97609329223633,0.07209913679597879,11.282255172729492,386.8359069824219,62741.0,31.622648239135746,NYU_2
0025090_session_1,5.964079856872559,6775529.0,20.726778030395508,8.568299293518066,80.91561126708984,5143.0,108.14353942871094,0.3690719158214749,120.32573736459116,199.8115692138672,1613079.0,133.39102172851562,4.24885,245.8003692626953,226829.0,41.741981506347656,0.07156105449478557,11.8590726852417,423.39361572265625,53180.0,23.13756561279297,NYU_2
0025091_session_1,5.711086750030518,6461715.0,17.874366760253906,10.173744201660156,90.5535659790039,5591.0,93.84451293945312,0.4066006026144141,173.59088379868285,212.5504608154297,1926893.0,131.16139221191406,3.91456,239.8036651611328,274267.0,37.58667755126953,0.06763653302567507,13.416065216064453,421.6528930664063,59029.0,34.686336517333984,NYU_2
0025092_session_1,5.485863208770752,6316557.0,14.074851036071776,12.295609474182127,88.86634826660156,4392.0,54.49343872070313,0.4249105964309077,220.47354387809781,198.20535278320312,2072051.0,119.3764877319336,4.07289,249.19955444335938,220799.0,41.88044357299805,0.06226619976674001,17.705307006835938,422.2584228515625,55476.0,24.39235877990723,NYU_2
0025093_session_1,2.1372690200805664,6200132.0,5.807472229003906,12.233942031860352,32.486526489257805,4824.0,28.38147354125977,0.43064606424316093,220.65152173364785,78.46250915527344,2188476.0,49.20319747924805,3.9665800000000004,92.80583190917969,298653.0,13.955387115478516,0.033810409197739665,15.980417251586914,163.85411071777344,67256.0,12.86073398590088,NYU_2
0025094_session_1,6.192002296447754,6628062.0,19.553997039794922,8.338577270507812,136.24237060546878,1770.0,113.74085998535156,0.3869688018780429,162.52474176971236,223.7183074951172,1760546.0,143.42001342773438,3.9889099999999997,273.63650512695307,196171.0,43.00917053222656,0.07778171055128935,13.993890762329102,436.6890258789063,54880.0,22.19969749450684,NYU_2
0025095_session_1,2.8282396793365483,6359215.0,8.679279327392576,7.825735569000244,44.43907928466797,5302.0,52.0542221069336,0.4238596147480631,124.0819524093874,89.05144500732422,2029393.0,53.68182373046875,4.20697,107.98308563232422,264819.0,15.095776557922365,0.06229589658471998,12.44148063659668,175.9048309326172,62537.0,12.459711074829102,NYU_2
0025096_session_1,1.868969202041626,6645216.0,5.114933490753174,15.75452709197998,47.296058654785156,3577.0,56.62522888183594,0.39297310364144,318.920356189665,86.82888793945312,1743392.0,48.77455139160156,3.7683800000000005,89.02618408203125,257267.0,13.133058547973633,0.0680585853040744,17.405149459838867,169.6095428466797,59160.0,9.367334365844727,NYU_2
0025098_session_1,1.450823187828064,6918888.0,5.073606491088867,15.392011642456055,39.7603874206543,3201.0,40.98501968383789,0.3549117959683277,292.71785004483485,79.14407348632812,1469720.0,45.7014045715332,3.62684,82.47740936279297,224509.0,12.237767219543455,0.03001999743311353,16.256170272827152,160.57041931152344,47512.0,11.407553672790527,NYU_2
0025099_session_1,1.8810483217239382,6471209.0,5.957396984100343,11.646417617797852,37.22673034667969,5372.0,47.406166076660156,0.4023969027107096,201.33940554243972,77.10431671142578,1917399.0,47.659934997558594,3.8733400000000002,87.04093170166016,277525.0,14.083356857299805,0.04051082262989806,14.61056423187256,156.4232635498047,58233.0,9.703939437866213,NYU_2
0025100_session_1,1.8158003091812132,6580670.0,5.199064254760742,15.285696983337402,36.101295471191406,4788.0,51.57443618774414,0.3939791593354333,261.39323591855003,78.35924530029297,1807938.0,47.03943634033203,3.98164,88.34795379638672,273369.0,14.04218578338623,0.0455438428002012,16.993049621582028,167.81927490234375,55760.0,8.765303611755371,NYU_2
0025102_session_1,1.7016161680221558,6528057.0,5.352834701538086,13.380952835083008,43.11997604370117,3334.0,49.76344680786133,0.39472020733283547,259.70812435524863,78.90648651123047,1860551.0,48.32941436767578,3.73191,88.19886016845703,248737.0,12.109198570251465,0.043204279619494745,16.47703742980957,159.82489013671875,56115.0,10.90602207183838,NYU_2
0025101_session_1,1.8917536735534668,6625417.0,5.5166754722595215,11.457395553588867,38.12617874145508,4034.0,35.142765045166016,0.3908536165596741,262.7997392015324,83.6268539428711,1763191.0,49.04308700561523,3.86292,103.40056610107422,188331.0,15.50796890258789,0.06369289661314903,18.743274688720703,166.6072998046875,51467.0,8.150615692138674,NYU_2
0025103_session_1,1.8573904037475584,6298244.0,5.224750995635986,13.83403778076172,41.89709854125977,4344.0,54.3882942199707,0.4218407101309264,249.98922554708312,76.83587646484375,2090364.0,46.39738464355469,4.099,90.52777099609376,255056.0,14.599451065063475,0.057429340622560825,17.326715469360348,162.8071746826172,59150.0,9.714385986328123,NYU_2
